unit,mean,std,n,individual_ratings,item_type
What did Linda okay that Jessica took?,3.26,1.9775,50,"[3, 4, 1, 3, 2, 6, 5, 5, 1, 1, 5, 6, 4, 7, 1, 4, 7, 7, 3, 1, 3, 5, 3, 3, 1, 3, 6, 1, 5, 1, 1, 7, 1, 5, 2, 3, 1, 4, 1, 1, 1, 4, 6, 2, 3, 3, 1, 4, 2, 4]",test
What did Linda relay that Jennifer stole?,4.78,1.8658,50,"[4, 6, 4, 4, 4, 7, 7, 5, 3, 2, 7, 7, 2, 4, 6, 6, 7, 5, 7, 4, 5, 5, 3, 5, 5, 6, 4, 3, 7, 7, 1, 7, 1, 7, 7, 5, 1, 3, 4, 4, 2, 7, 4, 4, 6, 2, 4, 7, 5, 7]",test
What did Lisa beam that Barbara wrote?,2.2653,1.6429,49,"[1, 2, 2, 1, 4, 5, 5, 2, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 2, 5, 3, 5, 2, 4, 5, 1, 4, 1, 1, 1, 1, 7, 4, 1, 1, 1, 2, 2, 1, 1, 2, 5, 1, 5, 1, 1, 1, 2, 4]",test
What did Lisa fuss that Charles wrote?,3.0816,1.6309,49,"[2, 3, 1, 4, 5, 5, 1, 3, 1, 1, 4, 3, 5, 2, 5, 1, 5, 5, 3, 4, 4, 2, 2, 3, 1, 2, 3, 2, 3, 1, 4, 7, 4, 3, 2, 2, 5, 4, 2, 1, 3, 5, 2, 6, 1, 2, 1, 5, 6]",test
What did Lisa marvel that James wrote?,3.94,1.9526,50,"[4, 6, 1, 4, 5, 4, 5, 5, 1, 1, 5, 3, 5, 1, 6, 5, 3, 5, 4, 6, 5, 2, 5, 5, 6, 6, 5, 2, 2, 7, 7, 7, 5, 1, 3, 1, 1, 5, 4, 4, 2, 6, 2, 2, 7, 1, 3, 3, 2, 7]",test
What did Lisa pretend that Mary took?,5.5306,1.7924,49,"[4, 4, 2, 5, 5, 5, 7, 5, 1, 5, 7, 7, 5, 7, 3, 7, 7, 7, 7, 7, 4, 7, 6, 6, 3, 7, 5, 4, 7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 7, 3, 7, 6, 1, 7, 3, 5, 7, 2, 6]",test
What did Lisa publish that Linda wrote?,5.12,1.955,50,"[2, 6, 1, 5, 5, 7, 7, 6, 5, 4, 7, 7, 7, 4, 6, 6, 7, 7, 7, 4, 4, 6, 6, 5, 1, 7, 6, 7, 7, 3, 1, 7, 7, 7, 5, 7, 3, 5, 6, 3, 1, 6, 5, 2, 7, 5, 7, 2, 3, 5]",test
What did Lisa snitch that Mary wrote?,3.4,1.8406,50,"[5, 4, 1, 4, 5, 4, 5, 4, 1, 1, 3, 5, 2, 4, 1, 1, 5, 6, 6, 5, 3, 2, 1, 4, 5, 1, 5, 1, 6, 2, 1, 6, 3, 6, 3, 2, 5, 2, 6, 2, 1, 4, 5, 1, 6, 2, 3, 3, 1, 6]",test
What did Mary advise that Joseph would steal?,4.48,1.821,50,"[1, 7, 2, 4, 5, 6, 6, 5, 1, 5, 4, 4, 1, 6, 3, 5, 4, 7, 6, 4, 3, 5, 6, 5, 3, 5, 5, 2, 7, 6, 5, 7, 4, 7, 7, 5, 2, 4, 5, 2, 2, 6, 6, 2, 6, 1, 6, 6, 3, 5]",test
What did Mary editorialize that Jessica wrote?,3.28,2.0607,50,"[3, 5, 2, 2, 2, 5, 1, 5, 1, 1, 7, 7, 6, 1, 5, 4, 1, 5, 5, 1, 3, 5, 4, 4, 1, 3, 4, 2, 2, 3, 1, 7, 5, 1, 5, 6, 1, 2, 2, 1, 1, 3, 5, 2, 7, 1, 1, 1, 6, 6]",test
What did Mary forget that Daniel wrote?,5.32,1.9737,50,"[5, 5, 2, 6, 5, 7, 7, 7, 1, 1, 7, 7, 6, 4, 2, 1, 7, 7, 7, 7, 4, 6, 5, 5, 6, 7, 6, 3, 6, 7, 5, 2, 7, 7, 7, 7, 7, 4, 5, 6, 3, 6, 6, 7, 7, 3, 6, 7, 7, 1]",test
What did Mary notify that Thomas took?,3.02,1.7899,50,"[3, 1, 4, 2, 2, 6, 2, 5, 1, 1, 3, 7, 1, 1, 2, 6, 4, 3, 6, 4, 3, 2, 1, 4, 1, 3, 5, 2, 2, 3, 6, 7, 4, 5, 1, 2, 1, 3, 2, 2, 2, 1, 5, 2, 6, 3, 2, 1, 2, 4]",test
What did Mary picture that Lisa stole?,4.26,1.6759,50,"[5, 6, 5, 2, 5, 6, 5, 5, 2, 2, 4, 6, 4, 5, 5, 3, 7, 1, 6, 4, 3, 3, 4, 6, 1, 2, 4, 2, 5, 7, 5, 7, 6, 7, 5, 4, 4, 3, 3, 2, 2, 6, 6, 5, 3, 3, 4, 6, 2, 5]",test
What did Mary publish that Daniel took?,3.1961,1.7552,51,"[3, 1, 5, 4, 6, 5, 6, 1, 5, 3, 1, 1, 6, 3, 4, 5, 4, 1, 5, 5, 4, 5, 5, 3, 5, 1, 3, 3, 6, 2, 1, 1, 1, 4, 4, 5, 1, 1, 4, 4, 4, 1, 1, 4, 1, 3, 1, 1, 3, 2, 5]",test
What did Michael chant that David stole?,2.76,1.802,50,"[2, 3, 1, 4, 3, 3, 1, 5, 1, 1, 1, 1, 1, 2, 5, 1, 1, 7, 3, 5, 5, 2, 2, 4, 1, 3, 6, 4, 1, 5, 1, 4, 1, 5, 1, 1, 2, 2, 3, 1, 2, 2, 5, 2, 5, 1, 3, 1, 5, 7]",test
What did Michael measure that Thomas wrote?,2.48,1.7171,50,"[1, 4, 2, 3, 2, 5, 1, 4, 1, 1, 4, 1, 2, 1, 2, 1, 1, 1, 3, 4, 2, 7, 2, 3, 1, 1, 4, 1, 1, 5, 1, 2, 2, 1, 1, 4, 1, 2, 1, 1, 3, 4, 4, 1, 7, 1, 3, 4, 3, 7]",test
What did Michael reply that Thomas stole?,4.08,2.1366,50,"[1, 5, 3, 6, 4, 5, 7, 5, 2, 3, 7, 7, 2, 4, 1, 2, 3, 7, 3, 7, 5, 2, 1, 5, 1, 6, 4, 6, 7, 7, 6, 4, 6, 6, 1, 5, 6, 2, 6, 1, 1, 4, 6, 1, 1, 1, 4, 5, 6, 4]",test
What did Michael snitch that David stole?,3.78,1.9303,50,"[1, 5, 1, 4, 2, 4, 7, 4, 2, 2, 2, 4, 3, 7, 3, 5, 7, 7, 6, 6, 6, 6, 2, 3, 1, 3, 5, 2, 5, 3, 1, 2, 1, 5, 5, 2, 3, 4, 5, 6, 1, 7, 6, 1, 5, 3, 5, 3, 2, 4]",test
What did Michael weep that Sarah took?,2.36,1.5618,50,"[3, 2, 2, 1, 4, 5, 1, 4, 2, 1, 1, 3, 6, 1, 1, 2, 4, 2, 4, 5, 5, 1, 1, 1, 1, 1, 4, 2, 2, 1, 3, 3, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 5, 1, 4, 1, 5, 1, 5, 4]",test
What did Nancy corroborate that Joseph wrote?,4.2449,2.1167,49,"[3, 7, 1, 5, 3, 7, 5, 4, 2, 1, 7, 7, 5, 6, 5, 2, 7, 7, 5, 7, 5, 2, 2, 5, 1, 5, 6, 5, 6, 6, 2, 7, 5, 7, 5, 3, 1, 5, 2, 2, 4, 5, 1, 7, 1, 4, 1, 5, 2]",test
What did Nancy diagnose that John stole?,2.04,1.3845,50,"[2, 2, 1, 1, 3, 3, 1, 6, 1, 1, 5, 1, 2, 1, 1, 2, 1, 1, 3, 1, 3, 2, 1, 5, 1, 1, 3, 2, 1, 5, 3, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 3, 4, 1, 1, 1, 3, 1, 5, 4]",test
What did Nancy hate that Linda stole?,4.7,1.6444,50,"[5, 6, 3, 5, 5, 3, 5, 5, 1, 6, 7, 5, 5, 7, 5, 4, 5, 7, 5, 4, 4, 7, 5, 5, 6, 5, 5, 2, 5, 7, 1, 5, 5, 5, 7, 7, 3, 2, 2, 3, 1, 6, 6, 4, 6, 4, 6, 6, 4, 3]",test
What did Nancy marvel that Jessica took?,3.54,1.6928,50,"[3, 5, 4, 3, 4, 5, 2, 4, 1, 1, 2, 3, 3, 6, 5, 4, 2, 5, 5, 4, 3, 2, 6, 5, 5, 3, 5, 2, 2, 7, 1, 7, 4, 5, 6, 2, 1, 4, 3, 1, 2, 2, 6, 5, 5, 1, 4, 2, 2, 3]",test
What did Nancy measure that Sarah took?,2.9608,1.6966,51,"[3, 1, 5, 5, 3, 3, 6, 3, 4, 1, 1, 3, 3, 2, 2, 1, 2, 1, 4, 6, 3, 2, 7, 6, 3, 1, 1, 4, 2, 2, 6, 1, 1, 5, 2, 2, 3, 2, 2, 2, 1, 1, 4, 4, 4, 3, 1, 4, 5, 2, 6]",test
What did Nancy reply that Linda wrote?,4.1915,2.0285,47,"[4, 1, 5, 5, 7, 7, 2, 2, 3, 7, 7, 3, 2, 3, 2, 3, 7, 4, 3, 4, 1, 1, 5, 5, 6, 3, 2, 5, 7, 1, 7, 6, 7, 5, 5, 5, 5, 6, 1, 5, 1, 5, 3, 3, 7, 6, 3]",test
What did Nancy voice that Thomas took?,3.8627,1.9496,51,"[2, 2, 4, 2, 1, 4, 5, 7, 6, 2, 1, 7, 4, 3, 6, 5, 1, 5, 5, 6, 5, 4, 1, 5, 5, 1, 5, 5, 2, 3, 5, 5, 2, 1, 5, 6, 5, 1, 4, 5, 3, 1, 5, 6, 5, 7, 1, 5, 1, 3, 7]",test
What did Patricia answer that Michael took?,3.6,1.8844,50,"[5, 3, 2, 4, 3, 5, 1, 5, 1, 1, 7, 6, 2, 6, 2, 5, 2, 6, 3, 5, 6, 3, 1, 5, 5, 5, 3, 2, 6, 4, 1, 1, 2, 5, 3, 2, 1, 3, 6, 2, 3, 5, 6, 1, 7, 3, 4, 6, 1, 4]",test
What did Patricia deceive that John would steal?,1.68,1.1683,50,"[1, 3, 1, 1, 2, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 5, 1, 1, 5, 2, 1, 1, 1, 1, 2, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 3, 1, 3, 1, 2, 2, 2, 4]",test
What did Patricia envy that Susan wrote?,4.28,1.9592,50,"[2, 6, 5, 6, 2, 7, 3, 5, 1, 4, 7, 4, 6, 6, 2, 1, 5, 7, 4, 5, 2, 5, 5, 4, 6, 6, 6, 5, 7, 7, 1, 7, 3, 3, 7, 4, 1, 4, 3, 6, 2, 1, 3, 4, 7, 2, 5, 5, 2, 3]",test
What did Patricia fuss that Jennifer stole?,3.58,1.6174,50,"[2, 3, 1, 3, 4, 5, 3, 6, 4, 1, 1, 5, 3, 3, 3, 2, 4, 5, 3, 6, 4, 4, 1, 2, 3, 1, 3, 4, 3, 3, 6, 6, 7, 3, 3, 3, 3, 3, 5, 4, 1, 3, 5, 3, 6, 1, 5, 5, 6, 6]",test
What did Patricia reply that Joseph took?,4.12,2.0765,50,"[6, 3, 2, 4, 5, 7, 7, 4, 1, 3, 7, 7, 3, 1, 1, 3, 3, 7, 3, 3, 4, 2, 1, 5, 1, 6, 6, 2, 7, 1, 1, 7, 4, 6, 3, 5, 5, 6, 6, 3, 3, 7, 6, 1, 5, 2, 5, 6, 4, 6]",test
What did Patricia weep that Joseph stole?,2.8,1.9691,50,"[1, 3, 1, 1, 3, 1, 5, 5, 1, 1, 5, 3, 5, 1, 1, 3, 4, 3, 6, 7, 2, 1, 1, 2, 1, 2, 3, 5, 1, 1, 1, 5, 6, 6, 1, 1, 2, 2, 1, 4, 1, 1, 6, 1, 5, 1, 2, 3, 7, 5]",test
What did Patricia yodel that Linda stole?,1.7,1.1294,50,"[1, 5, 3, 1, 2, 3, 1, 3, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 2, 1, 3, 1, 4, 1, 1, 3, 1, 1, 1, 4, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 5, 1, 1, 1, 1, 1, 3, 3]",test
What did Richard believe that Nancy stole?,6.16,1.4758,50,"[6, 7, 3, 6, 6, 5, 7, 7, 5, 7, 7, 7, 7, 7, 5, 7, 7, 7, 5, 7, 7, 7, 6, 5, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 3, 1, 7, 6, 7, 7, 5, 7, 5, 1, 7]",test
What did Richard boom that Linda stole?,2.14,1.578,50,"[2, 1, 2, 3, 3, 3, 1, 2, 1, 1, 1, 5, 2, 1, 2, 1, 1, 1, 5, 4, 4, 1, 2, 5, 1, 1, 3, 1, 1, 1, 6, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 3, 6, 1, 2, 1, 1, 1, 5, 6]",test
What did Richard indicate that Lisa stole?,5.84,1.4758,50,"[5, 5, 5, 4, 5, 7, 7, 7, 5, 6, 7, 7, 5, 6, 5, 7, 7, 6, 7, 7, 5, 7, 7, 6, 7, 6, 5, 5, 7, 7, 1, 7, 5, 7, 7, 7, 1, 5, 7, 5, 3, 7, 6, 7, 7, 4, 6, 7, 7, 4]",test
What did Richard marvel that William stole?,3.12,1.955,50,"[4, 5, 4, 4, 3, 5, 1, 4, 2, 1, 2, 1, 2, 1, 2, 3, 2, 7, 4, 4, 3, 7, 4, 4, 1, 3, 4, 3, 2, 7, 6, 7, 2, 1, 7, 3, 1, 2, 2, 1, 1, 2, 5, 1, 1, 1, 3, 1, 3, 7]",test
What did Richard witness that William wrote?,4.9184,1.8009,49,"[3, 5, 6, 5, 6, 7, 7, 5, 3, 1, 7, 5, 5, 3, 5, 5, 7, 6, 6, 7, 5, 7, 5, 5, 1, 3, 3, 3, 6, 7, 1, 6, 7, 5, 7, 7, 7, 5, 5, 2, 4, 4, 2, 7, 5, 6, 2, 5, 5]",test
What did Richard yodel that Charles took?,1.76,1.318,50,"[1, 5, 2, 1, 2, 7, 1, 2, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2, 2, 2, 2, 2, 4, 1, 1, 2, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 4, 1, 1, 1, 2, 1, 2, 6]",test
What did Robert agonize that Mary took?,3.4,1.8406,50,"[3, 3, 2, 4, 3, 2, 2, 5, 1, 3, 1, 3, 3, 4, 5, 3, 2, 7, 5, 6, 2, 2, 1, 3, 5, 5, 4, 2, 2, 2, 7, 7, 2, 1, 7, 3, 2, 4, 5, 3, 1, 3, 6, 2, 5, 1, 3, 1, 5, 7]",test
What did Robert bitch that Michael stole?,3.8367,1.9186,49,"[5, 1, 1, 5, 5, 2, 5, 2, 1, 1, 4, 7, 5, 1, 5, 5, 7, 5, 5, 4, 2, 2, 2, 5, 7, 6, 4, 4, 5, 5, 1, 7, 5, 6, 2, 3, 4, 2, 4, 1, 5, 6, 1, 7, 3, 4, 2, 3, 4]",test
What did Robert conjecture that Jennifer stole?,3.28,2.1096,50,"[5, 3, 1, 3, 2, 5, 6, 4, 1, 3, 1, 1, 3, 1, 5, 6, 4, 1, 5, 6, 3, 7, 6, 5, 5, 2, 3, 1, 7, 1, 1, 7, 1, 1, 1, 1, 1, 5, 6, 4, 1, 2, 6, 1, 1, 1, 5, 4, 3, 6]",test
What did Robert grouse that Joseph stole?,3.08,2.0587,50,"[2, 2, 4, 5, 2, 5, 6, 4, 1, 1, 1, 7, 1, 1, 2, 3, 1, 1, 6, 1, 3, 2, 1, 5, 3, 6, 3, 1, 5, 7, 1, 7, 2, 1, 3, 3, 1, 5, 5, 1, 2, 5, 6, 1, 6, 1, 2, 1, 6, 3]",test
What did Robert like that Michael took?,5.72,1.4852,50,"[4, 7, 5, 5, 5, 7, 6, 5, 1, 7, 4, 7, 5, 4, 6, 5, 6, 7, 7, 4, 3, 6, 7, 5, 7, 7, 4, 7, 7, 7, 6, 7, 7, 7, 7, 7, 6, 6, 6, 4, 3, 5, 6, 7, 7, 6, 7, 7, 2, 6]",test
What did Robert okay that Sarah stole?,2.76,1.685,50,"[3, 1, 2, 3, 3, 1, 1, 2, 1, 1, 4, 7, 2, 4, 1, 5, 6, 5, 3, 2, 2, 3, 2, 3, 2, 1, 5, 1, 3, 1, 1, 7, 3, 3, 5, 2, 1, 4, 1, 1, 2, 3, 5, 2, 1, 2, 4, 2, 6, 3]",test
What did Robert panic that Joseph would write?,3.66,2.0663,50,"[2, 5, 3, 2, 5, 2, 6, 1, 5, 1, 1, 7, 7, 3, 4, 2, 5, 6, 5, 6, 7, 2, 2, 3, 3, 3, 3, 5, 1, 2, 7, 1, 7, 4, 7, 5, 1, 3, 5, 5, 1, 1, 6, 2, 3, 1, 3, 2, 7, 3]",test
What did Robert sneer that Jennifer stole?,2.68,1.7195,50,"[2, 3, 2, 5, 3, 3, 6, 3, 1, 1, 5, 4, 1, 4, 2, 1, 2, 1, 4, 5, 3, 1, 2, 3, 1, 3, 4, 1, 5, 2, 1, 7, 1, 1, 1, 1, 4, 3, 1, 2, 1, 1, 6, 1, 6, 1, 5, 2, 2, 4]",test
What did Sarah bitch that Susan took?,4.3,1.8098,50,"[5, 1, 1, 4, 5, 6, 4, 4, 1, 1, 6, 7, 4, 4, 3, 4, 6, 7, 5, 4, 3, 2, 4, 5, 5, 5, 5, 6, 5, 5, 1, 7, 5, 7, 6, 5, 4, 2, 4, 6, 1, 3, 6, 1, 7, 3, 5, 5, 6, 4]",test
What did Sarah grant that Elizabeth stole?,2.56,1.6433,50,"[2, 4, 2, 3, 2, 6, 1, 4, 1, 1, 3, 6, 2, 1, 1, 1, 2, 1, 4, 3, 3, 2, 2, 5, 2, 2, 5, 2, 6, 5, 4, 3, 3, 1, 1, 1, 1, 2, 2, 1, 1, 1, 6, 1, 3, 1, 3, 1, 2, 6]",test
What did Sarah like that Christopher wrote?,6.04,1.1058,50,"[5, 7, 6, 5, 5, 7, 7, 7, 5, 6, 7, 7, 6, 7, 6, 5, 7, 7, 7, 7, 6, 7, 6, 5, 6, 7, 5, 6, 6, 7, 7, 6, 6, 7, 7, 7, 5, 6, 6, 5, 2, 7, 6, 7, 7, 4, 6, 5, 6, 3]",test
What did Sarah pretend that Christopher wrote?,5.28,1.7384,50,"[5, 7, 5, 3, 5, 7, 5, 5, 1, 1, 7, 7, 5, 5, 3, 5, 7, 7, 7, 5, 3, 6, 6, 6, 5, 7, 5, 3, 7, 7, 5, 7, 7, 7, 7, 7, 6, 6, 7, 3, 3, 4, 5, 1, 7, 4, 5, 5, 7, 4]",test
What did Susan chant that Joseph wrote?,3.44,1.8644,50,"[2, 6, 3, 2, 4, 5, 3, 4, 1, 4, 1, 3, 2, 1, 2, 2, 5, 7, 7, 4, 4, 6, 4, 6, 1, 1, 4, 4, 2, 5, 1, 7, 1, 4, 5, 2, 1, 2, 3, 1, 1, 3, 5, 5, 4, 3, 5, 2, 6, 6]",test
What did Susan diagnose that Michael wrote?,2.02,1.505,50,"[2, 3, 2, 1, 3, 2, 1, 5, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 1, 2, 2, 3, 1, 4, 1, 1, 5, 1, 2, 5, 1, 7, 1, 2, 2, 1, 1, 2, 1, 1, 1, 1, 4, 1, 4, 1, 1, 1, 2, 6]",test
What did Susan editorialize that Elizabeth took?,2.4694,1.6086,49,"[2, 5, 2, 2, 3, 4, 1, 5, 1, 1, 1, 6, 1, 1, 1, 1, 1, 2, 3, 1, 3, 2, 2, 5, 1, 3, 6, 2, 5, 5, 1, 1, 2, 1, 3, 2, 1, 2, 3, 2, 2, 6, 1, 2, 1, 1, 4, 3, 5]",test
What did Susan publish that Thomas stole?,4.449,2.0622,49,"[2, 6, 5, 5, 5, 4, 1, 5, 2, 1, 7, 7, 6, 7, 2, 5, 7, 7, 5, 1, 5, 6, 5, 5, 1, 6, 5, 3, 7, 5, 1, 7, 4, 7, 1, 4, 5, 4, 3, 1, 7, 6, 3, 3, 2, 3, 6, 6, 7]",test
What did Thomas advise that Lisa would take?,4.72,1.7733,50,"[3, 7, 4, 5, 5, 6, 6, 6, 1, 5, 6, 3, 3, 5, 3, 6, 7, 6, 7, 6, 4, 2, 6, 6, 6, 3, 4, 2, 7, 7, 5, 7, 4, 6, 7, 5, 1, 3, 3, 2, 4, 6, 6, 4, 6, 1, 3, 6, 6, 4]",test
What did Thomas attest that Jessica stole?,4.98,1.672,50,"[6, 5, 4, 5, 3, 7, 7, 6, 3, 1, 7, 7, 6, 1, 5, 6, 7, 7, 5, 7, 6, 3, 5, 3, 5, 7, 5, 5, 6, 7, 7, 7, 4, 2, 5, 5, 5, 5, 6, 3, 3, 6, 5, 3, 7, 3, 4, 3, 5, 4]",test
What did Thomas corroborate that Sarah took?,4.56,1.8969,50,"[3, 5, 3, 4, 5, 7, 7, 4, 5, 1, 7, 7, 3, 6, 3, 5, 7, 7, 7, 6, 3, 3, 4, 5, 1, 5, 6, 4, 5, 5, 3, 7, 2, 7, 7, 2, 2, 5, 7, 2, 2, 6, 5, 1, 6, 2, 4, 5, 6, 4]",test
What did Thomas justify that Susan stole?,3.98,1.9005,50,"[5, 5, 5, 3, 4, 7, 4, 4, 1, 1, 1, 5, 3, 7, 5, 4, 6, 7, 2, 7, 4, 6, 1, 4, 1, 5, 5, 4, 2, 2, 6, 7, 2, 3, 6, 2, 6, 2, 2, 3, 2, 5, 6, 1, 6, 2, 5, 4, 5, 4]",test
What did Thomas picture that William wrote?,4.26,1.688,50,"[3, 5, 2, 4, 5, 6, 5, 6, 1, 1, 6, 3, 3, 4, 5, 6, 7, 5, 5, 4, 3, 5, 4, 6, 1, 5, 4, 3, 2, 7, 1, 7, 6, 7, 5, 5, 5, 4, 4, 1, 2, 5, 5, 4, 5, 5, 5, 2, 5, 4]",test
What did Thomas respect that Susan wrote?,4.32,1.8232,50,"[4, 5, 3, 5, 2, 2, 6, 6, 1, 4, 7, 7, 5, 4, 2, 4, 7, 7, 5, 4, 3, 7, 6, 5, 1, 5, 4, 3, 5, 6, 4, 7, 3, 6, 2, 5, 1, 5, 4, 2, 1, 5, 3, 5, 7, 2, 6, 4, 3, 6]",test
What did William answer that Robert wrote?,3.54,2.0123,50,"[2, 3, 1, 5, 3, 6, 6, 4, 1, 1, 7, 5, 3, 1, 3, 1, 3, 4, 6, 3, 5, 2, 2, 5, 1, 1, 5, 2, 7, 7, 1, 7, 5, 6, 2, 5, 5, 2, 5, 1, 1, 3, 5, 1, 6, 2, 2, 3, 6, 4]",test
What did William bark that James took?,2.3,1.5152,50,"[2, 1, 4, 2, 2, 2, 2, 4, 1, 1, 1, 3, 1, 1, 3, 3, 1, 1, 3, 4, 2, 2, 1, 3, 1, 1, 5, 1, 2, 5, 1, 1, 1, 3, 2, 3, 1, 3, 4, 3, 1, 1, 5, 1, 7, 1, 1, 1, 5, 5]",test
What did William daydream that Linda stole?,4.08,1.9571,50,"[2, 6, 2, 1, 3, 5, 5, 6, 1, 5, 1, 3, 3, 6, 5, 5, 7, 2, 5, 5, 3, 6, 5, 6, 5, 2, 3, 2, 2, 7, 5, 7, 5, 7, 6, 2, 6, 2, 4, 2, 1, 5, 4, 2, 6, 1, 5, 7, 2, 6]",test
What did William envy that Christopher stole?,4.26,1.8605,50,"[5, 5, 5, 6, 4, 5, 1, 5, 1, 4, 7, 2, 3, 4, 6, 5, 5, 7, 5, 3, 4, 6, 5, 5, 5, 7, 4, 3, 2, 7, 1, 7, 7, 2, 5, 7, 1, 5, 3, 2, 2, 3, 3, 2, 6, 1, 4, 5, 5, 6]",test
What did William rejoice that Christopher wrote?,3.1,1.8979,50,"[5, 5, 2, 6, 2, 2, 1, 4, 1, 1, 4, 5, 3, 1, 1, 2, 4, 7, 4, 7, 5, 2, 2, 4, 6, 5, 3, 5, 2, 3, 1, 7, 4, 1, 3, 1, 2, 4, 2, 1, 1, 3, 6, 1, 4, 1, 2, 1, 5, 1]",test
What did William value that John wrote?,4.9,1.9614,50,"[4, 7, 1, 5, 5, 7, 7, 6, 2, 1, 7, 7, 5, 6, 5, 1, 7, 7, 6, 6, 4, 7, 2, 5, 3, 6, 5, 2, 6, 7, 7, 7, 7, 6, 5, 3, 1, 4, 2, 3, 3, 6, 5, 7, 7, 4, 5, 5, 3, 6]",test
Who advised that James would break something?,4.96,1.6532,50,"[5, 4, 2, 5, 6, 6, 6, 6, 5, 5, 1, 7, 3, 5, 5, 7, 7, 6, 5, 4, 4, 5, 5, 6, 6, 6, 5, 5, 6, 7, 6, 7, 4, 7, 6, 5, 6, 3, 4, 2, 4, 2, 6, 1, 7, 1, 5, 7, 5, 5]",test
Who advised that Karen would buy something?,5.14,1.7614,50,"[4, 7, 5, 4, 5, 7, 6, 7, 2, 6, 4, 7, 5, 5, 5, 7, 7, 6, 3, 4, 4, 7, 7, 7, 6, 6, 5, 2, 7, 3, 6, 7, 5, 7, 7, 5, 4, 4, 3, 1, 5, 4, 6, 1, 6, 1, 6, 7, 6, 6]",test
Who advised that Lisa would sell something?,5.0417,1.6497,48,"[3, 7, 2, 4, 5, 7, 7, 6, 6, 4, 7, 5, 1, 5, 5, 7, 6, 4, 4, 3, 6, 5, 6, 6, 5, 3, 3, 6, 7, 7, 7, 5, 6, 7, 5, 7, 5, 2, 4, 6, 5, 2, 6, 2, 5, 7, 5, 4]",test
Who agonized that Jessica sold something?,3.78,2.0333,50,"[5, 7, 2, 4, 2, 6, 1, 5, 5, 3, 4, 6, 5, 2, 5, 3, 1, 4, 7, 4, 4, 6, 7, 5, 7, 6, 4, 2, 1, 1, 5, 7, 1, 1, 7, 3, 1, 3, 3, 2, 2, 1, 6, 2, 5, 1, 4, 2, 3, 6]",test
Who agonized that Karen bought something?,3.7,2.0429,50,"[3, 6, 2, 6, 3, 7, 1, 5, 6, 6, 1, 7, 5, 1, 5, 1, 1, 6, 5, 6, 4, 3, 5, 3, 7, 5, 3, 1, 2, 1, 6, 7, 1, 1, 6, 3, 4, 4, 4, 1, 3, 2, 5, 4, 3, 1, 3, 3, 6, 1]",test
Who agonized that Mary broke something?,4.3061,2.0636,49,"[6, 6, 1, 5, 3, 6, 5, 7, 3, 7, 6, 6, 6, 2, 1, 1, 1, 7, 5, 7, 3, 6, 5, 3, 7, 6, 4, 3, 2, 4, 7, 7, 1, 1, 5, 3, 5, 6, 4, 1, 6, 6, 3, 6, 1, 2, 5, 4, 4]",test
Who answered that Charles sold something?,5.1,1.8871,50,"[3, 6, 2, 7, 2, 6, 7, 6, 3, 7, 7, 7, 3, 4, 5, 7, 4, 7, 7, 7, 5, 7, 6, 6, 1, 7, 3, 1, 7, 5, 5, 7, 7, 5, 7, 4, 3, 4, 7, 1, 4, 5, 6, 6, 7, 3, 3, 5, 5, 6]",test
Who answered that Jessica bought something?,4.72,2.0207,50,"[3, 7, 1, 5, 3, 6, 7, 6, 2, 7, 7, 7, 3, 1, 6, 6, 4, 5, 3, 7, 5, 7, 6, 6, 6, 7, 6, 3, 7, 6, 1, 7, 4, 7, 7, 3, 1, 3, 6, 1, 4, 2, 4, 5, 6, 2, 4, 5, 3, 6]",test
Who answered that Richard broke something?,5.1373,1.6855,51,"[2, 3, 7, 3, 7, 5, 5, 7, 5, 5, 7, 7, 7, 2, 7, 6, 6, 3, 7, 5, 5, 4, 5, 5, 6, 2, 6, 5, 5, 7, 2, 5, 7, 7, 6, 7, 4, 4, 5, 7, 2, 4, 7, 5, 2, 7, 3, 5, 5, 7, 5]",test
Who attested that Elizabeth bought something?,4.96,1.8622,50,"[5, 7, 2, 5, 2, 6, 7, 6, 6, 4, 1, 7, 5, 5, 5, 6, 7, 7, 5, 7, 6, 7, 7, 5, 5, 6, 3, 2, 7, 6, 6, 7, 6, 5, 7, 3, 3, 5, 6, 2, 4, 5, 6, 1, 7, 2, 4, 6, 2, 2]",test
